id,name_event,id_sport
1,Aeronautics Mixed Aeronautics,1
2,Alpine Skiing Men's Combined,2
3,Alpine Skiing Men's Downhill,2
4,Alpine Skiing Men's Giant Slalom,2
5,Alpine Skiing Men's Slalom,2
6,Alpine Skiing Men's Super G,2
7,Alpine Skiing Women's Combined,2
8,Alpine Skiing Women's Downhill,2
9,Alpine Skiing Women's Giant Slalom,2
10,Alpine Skiing Women's Slalom,2
11,Alpine Skiing Women's Super G,2
12,Alpinism Mixed Alpinism,3
13,"Archery Men's Au Chapelet, 33 metres",4
14,"Archery Men's Au Chapelet, 50 metres",4
15,"Archery Men's Au Cordon Dore, 33 metres",4
16,"Archery Men's Au Cordon Dore, 50 metres",4
17,Archery Men's Championnat Du Monde,4
18,Archery Men's Continental Style,4
19,Archery Men's Double American Round,4
20,Archery Men's Double York Round,4
21,Archery Men's Individual,4
22,"Archery Men's Pole Archery, Large Birds, Individual",4
23,"Archery Men's Pole Archery, Large Birds, Team",4
24,"Archery Men's Pole Archery, Small Birds, Individual",4
25,"Archery Men's Pole Archery, Small Birds, Team",4
26,Archery Men's Sur La Perche a La Herse,4
27,Archery Men's Sur La Perche a La Pyramide,4
28,"Archery Men's Target Archery, 28 metres, Individual",4
29,"Archery Men's Target Archery, 28 metres, Team",4
30,"Archery Men's Target Archery, 33 metres, Individual",4
31,"Archery Men's Target Archery, 33 metres, Team",4
32,"Archery Men's Target Archery, 50 metres, Individual",4
33,"Archery Men's Target Archery, 50 metres, Team",4
34,Archery Men's Team,4
35,Archery Men's Team Round,4
36,Archery Men's Unknown Event,4
37,Archery Women's Double Columbia Round,4
38,Archery Women's Double National Round,4
39,Archery Women's Individual,4
40,Archery Women's Team,4
41,Archery Women's Team Round,4
42,Art Competitions Mixed Architecture,5
43,"Art Competitions Mixed Architecture, Architectural Designs",5
44,"Art Competitions Mixed Architecture, Designs For Town Planning",5
45,"Art Competitions Mixed Architecture, Unknown Event",5
46,Art Competitions Mixed Literature,5
47,"Art Competitions Mixed Literature, Dramatic Works",5
48,"Art Competitions Mixed Literature, Epic Works",5
49,"Art Competitions Mixed Literature, Lyric Works",5
50,"Art Competitions Mixed Literature, Unknown Event",5
51,Art Competitions Mixed Music,5
52,"Art Competitions Mixed Music, Compositions For Orchestra",5
53,"Art Competitions Mixed Music, Compositions For Solo Or Chorus",5
54,"Art Competitions Mixed Music, Instrumental And Chamber",5
55,"Art Competitions Mixed Music, Unknown Event",5
56,"Art Competitions Mixed Music, Vocals",5
57,Art Competitions Mixed Painting,5
58,"Art Competitions Mixed Painting, Applied Arts",5
59,"Art Competitions Mixed Painting, Drawings And Water Colors",5
60,"Art Competitions Mixed Painting, Graphic Arts",5
61,"Art Competitions Mixed Painting, Paintings",5
62,"Art Competitions Mixed Painting, Unknown Event",5
63,Art Competitions Mixed Sculpturing,5
64,"Art Competitions Mixed Sculpturing, Medals",5
65,"Art Competitions Mixed Sculpturing, Medals And Plaques",5
66,"Art Competitions Mixed Sculpturing, Medals And Reliefs",5
67,"Art Competitions Mixed Sculpturing, Reliefs",5
68,"Art Competitions Mixed Sculpturing, Statues",5
69,"Art Competitions Mixed Sculpturing, Unknown Event",5
70,Art Competitions Mixed Unknown Event,5
71,"Athletics Men's 1,500 metres",6
72,"Athletics Men's 1,500 metres Walk",6
73,"Athletics Men's 1,600 metres Medley Relay",6
74,Athletics Men's 10 kilometres Walk,6
75,Athletics Men's 10 mile Walk,6
76,"Athletics Men's 10,000 metres",6
77,Athletics Men's 100 metres,6
78,Athletics Men's 110 metres Hurdles,6
79,"Athletics Men's 2,500 metres Steeplechase",6
80,"Athletics Men's 2,590 metres Steeplechase",6
81,Athletics Men's 20 kilometres Walk,6
82,Athletics Men's 200 metres,6
83,Athletics Men's 200 metres Hurdles,6
84,"Athletics Men's 3 mile, Team",6
85,"Athletics Men's 3,000 metres Steeplechase",6
